ID;Name;Opening Week Audience;Total Audience;Opening Week Revenue;Total Revenue;IMDB Score;Release Weeks;Release Date;Runtime;Location Count
155;Asteroid City;4.765;20.160;505217;2039066;6,5;9;June;105;49
156;Joyland;437;1.979;35943;155578;7,6;9;June;126;15
157;Haile: Bir Aile Kâbusu;28.305;128.234;2576140;11106111;4,5;6;June;94;228
158;Two Little Toddlers: An Unforgettable Day;1.975;5.244;178120;453551;6,7;3;June;66;172
159;Tebessum;1.537;5.621;136453;453553;4,5;14;June;91;131
160;No Hard Feelings;4.494;14.885;491929;1557045;6,4;4;June;103;100
161;Adalet;676;1.776;68478;169738;6,8;2;June;89;82
162;Indiana Jones and the Dial of Destiny;26.566;87.499;2874811;9221858;6,5;6;June;154;286
163;Teenage Kraken;15.442;54.102;1365713;4579563;5,7;8;June;90;243
164;Geri Sayım;2.485;4.592;230125;395535;7,9;2;June;81;140
165;Don't Come Back Alive;2.130;4.140;215863;389101;3,6;2;June;85;65
166;Sisu;871;1.634;88034;156762;6,9;2;June;91;44
167;Gyoseob, The Point Men;508;917;58660;97407;6;1;June;108;34
168;Gizemli Mesaj;832;1.858;54420;98065;4,5;1;June;90;30
169;How to Blow Up a Pipeline;195;722;17424;56738;6,9;6;June;104;21
170;Kaptan Pengu ve Arkadasları 3: Buz Mandası Efsanesi;50.346;217.659;4492829;18261106;6,1;25;July;81;311
171;Insidious: The Red Door;26.922;88.140;2819972;8551596;5,5;9;July;107;227
172;Barkers: Mind the Cats!;2.063;3.506;198925;319563;5,4;2;July;106;133
173;Hidden Strike;5.173;9.018;509744;838833;5,4;3;July;102;120
174;Once Upon a Time in Ukraine;198;348;19740;33267;6,7;1;July;90;45
175;Love at Second Sight;1.116;1.884;131787;201965;6,9;2;July;117;37
176;Rheingold;813;2.277;94807;230428;6,7;7;July;138;35
177;Disco Boy;356;808;29806;64229;6,3;5;July;92;18
178;Mission: Impossible - Dead Reckoning Part One;69.702;295.068;8412963;32576254;7,7;11;July;163;309
179;Semur 4: Mahşer;5.651;12.546;566259;1156509;2,6;3;July;76;179
180;Cinnas;5.983;16.557;502307;1308012;6,4;7;July;97;151
181;Cılgın Dostum Finnik;4.977;12.775;512499;1148803;5,7;17;July;85;143
182;The Reef: Stalked;2.203;6.178;223762;581140;4,2;4;July;93;81
183;Godland;462;2.383;39980;209533;7,1;6;July;142;20
184;The Unlikely Pilgrimage of Harold Fry;157;492;22370;70920;6,8;2;July;108;12
185;Barbie;397.247;1.399.448;41775096;141071634;6,8;16;July;114;323
186;Oppenheimer;360.041;1.727.231;40427880;191631827;8,3;23;July;180;279
187;How to Save the Immortal;5.097;12.319;495281;1086493;5,1;3;July;76;126
188;Detective Chirp and the Golden Beehive;2.244;7.055;207957;624418;5,2;6;July;85;93
189;Mühr-ü Musallat 2: Yasak Dügün;2.645;6.736;246600;580549;3,3;3;July;103;77
190;Resident Evil: Death Island;683;1.385;70718;132374;5,7;2;July;87;34
191;Chariot;304;629;35675;66695;3,6;2;July;94;27
192;The Inspection;128;334;11446;28815;6,7;2;July;95;19
193;Paris Memories;173;877;17048;94756;6,9;5;July;103;11
194;Bulmaca Kulesi 2: Eve Dönüş;30.293;127.143;2826432;11012818;4,4;32;July;85;289
195;Lilith Cinleri;4.343;8.486;423656;764732;3;2;July;79;122
196;Cobweb;5.512;12.200;585628;1194671;5,9;2;July;88;81
197;The First Slam Dunk;451;996;58017;113650;8,1;1;July;121;33
198;La jauría;324;831;29034;73831;6,5;3;July;86;19
